ItemID,Name,Currently,Buy_Price,First_Bid,Number_Of_Bids,Location,Latitude,Longitude,Country,Started,Ends,UserID,Description
,Set of 6 glass coasters w/characters,,,,0,,,,,,,,
,"""The Lovers"" Collector Plate by Lee Bogle",,,,0,,,,,,,,
,**NEW** 12-A Dozen Precious Moments FAN PULLS,,,,0,,,,,,,,
,IVY POSTERN GATE HOUSE CHRISTMAS BELL,,,,0,,,,,,,,
,MUSICAL 3-D CHRISTMAS ANGEL PLATE #4,,,,0,,,,,,,,
,Beautiful SANTA In SLEIGH Cookie Jar,,,,0,,,,,,,,
,"famous monsters #41.nov,1966.almost perfect !",,,,0,,,,,,,,
,AMAZING SPIDER-MAN #80 Chameleon Buscema1970,,,,0,,,,,,,,
,Avon 1970's English Provincial Charisma Oil,,,,0,,,,,,,,
,Homco Home Interior Christmas Bears,,,,0,,,,,,,,
,Hallmark The Secret Garden Hardback $2.50 PP,,,,0,,,,,,,,
,UNCANNY X-MEN #97 CGC 9.2 NM-,,,,0,,,,,,,,
,INDIANA JONES TEMPLE OF DOOM SET + BONUS,,,,0,,,,,,,,
,CWU-45P FLIGHT JACKET W/USN VF-103 INSIGNIA,,,,0,,,,,,,,
,KAMAGURKA/SEELE-Cowboy Henk-scarce OOP book,,,,0,,,,,,,,
,BATTLESTAR GALACTICA Comic Book #1,,,,0,,,,,,,,
,Seattle SEAHAWKS Practice FOOTBALL JERSEY M,,,,0,,,,,,,,
,LONGABERGER Parsley Booking basket,,,,0,,,,,,,,
,Popiels Veg-O-Matic II,,,,0,,,,,,,,
,Radko ~~CHILLIN DELIVERIES ~~REDUCED,,,,0,,,,,,,,
,OPENER SET,,,,0,,,,,,,,
,Duncan Royale Figure of Fran Holda !!!!!!!!!!,,,,0,,,,,,,,
,D56 SV Village Town Hall NEW SRP=$96,,,,0,,,,,,,,
,Fire fighting cigarette cards 1930,,,,0,,,,,,,,
,1888 Receipt Paxton Gallagher Omaha,,,,0,,,,,,,,
,candle,,,,0,,,,,,,,
,R2D2 Pepsi Cooler,,,,0,,,,,,,,
,Wulf #3 (1975) Great Cover,,,,0,,,,,,,,
,CIRCUS COPPER COOKIE CUTTER MINT SET,,,,0,,,,,,,,
,WEIRD WESTERN TALES #14 CGC VF 8.0 Toth art,,,,0,,,,,,,,
,"DUNCAN ROYALE-18""-ST. NICHOLAS SANTA-RARE-MIB",,,,0,,,,,,,,
,Enigma Lot Issues 1-5 Vertigo Comics,,,,0,,,,,,,,
,"Tree Trimmin' Time, Winnie The Pooh",,,,0,,,,,,,,
,1964 POPEYE LUNCHBOX With THERMOS,,,,0,,,,,,,,
,Bowen Marvel Spiderman Green Goblin Statue,,,,0,,,,,,,,
,WHAT IF #1 - CGC NM 9.4 OFF-WHITE-WHITE PG,,,,0,,,,,,,,
,BRADFORD EXCHANGE MIRACLE OF LIFE PLATE 1995,,,,0,,,,,,,,
,Department 56 Village Accessories Signs!,,,,0,,,,,,,,
